2026-01-08 22:02:14.943156 | Samples: 40 | Loss: 0.1608 | LR: 4.94e-05
2026-01-08 22:03:16.368181 | Samples: 40 | Loss: 0.1183 | LR: 4.94e-05
2026-01-08 22:04:05.133292 | Samples: 40 | Loss: 0.2372 | LR: 4.94e-05
2026-01-08 22:04:53.946236 | Samples: 40 | Loss: 0.1629 | LR: 4.94e-05
2026-01-08 22:05:48.788646 | Samples: 40 | Loss: 0.1365 | LR: 4.94e-05
2026-01-08 22:06:43.475706 | Samples: 40 | Loss: 0.1428 | LR: 4.94e-05
2026-01-08 22:07:42.156089 | Samples: 40 | Loss: 0.1256 | LR: 4.93e-05
2026-01-08 22:08:40.264576 | Samples: 40 | Loss: 0.1611 | LR: 4.93e-05
2026-01-08 22:09:32.533229 | Samples: 40 | Loss: 0.1167 | LR: 4.93e-05
2026-01-08 22:10:28.633404 | Samples: 40 | Loss: 0.1235 | LR: 4.93e-05
2026-01-08 22:11:22.367305 | Samples: 40 | Loss: 0.1350 | LR: 4.93e-05
2026-01-08 22:12:12.965742 | Samples: 40 | Loss: 0.1466 | LR: 4.92e-05
2026-01-08 22:13:02.160802 | Samples: 40 | Loss: 0.1616 | LR: 4.92e-05
2026-01-08 22:13:55.925116 | Samples: 40 | Loss: 0.1416 | LR: 4.92e-05
2026-01-08 22:14:46.081971 | Samples: 40 | Loss: 0.1428 | LR: 4.92e-05
2026-01-08 22:15:36.586593 | Samples: 40 | Loss: 0.1433 | LR: 4.92e-05
2026-01-08 22:16:29.452920 | Samples: 40 | Loss: 0.1537 | LR: 4.92e-05
2026-01-08 22:17:15.169557 | Samples: 40 | Loss: 0.1715 | LR: 4.91e-05
2026-01-08 22:18:05.977370 | Samples: 40 | Loss: 0.1793 | LR: 4.91e-05
2026-01-08 22:18:56.859337 | Samples: 40 | Loss: 0.1362 | LR: 4.91e-05
2026-01-08 22:19:53.275431 | Samples: 40 | Loss: 0.1601 | LR: 4.91e-05
2026-01-08 22:20:49.404065 | Samples: 40 | Loss: 0.1854 | LR: 4.90e-05
2026-01-08 22:21:42.824619 | Samples: 40 | Loss: 0.1651 | LR: 4.90e-05
2026-01-08 22:22:41.857742 | Samples: 40 | Loss: 0.1490 | LR: 4.90e-05
2026-01-08 22:23:36.551077 | Samples: 40 | Loss: 0.1311 | LR: 4.90e-05
2026-01-08 22:24:30.111359 | Samples: 40 | Loss: 0.1507 | LR: 4.90e-05
2026-01-08 22:25:18.802540 | Samples: 40 | Loss: 0.1395 | LR: 4.89e-05
2026-01-08 22:26:12.244169 | Samples: 40 | Loss: 0.1703 | LR: 4.89e-05
2026-01-08 22:27:05.120256 | Samples: 40 | Loss: 0.1491 | LR: 4.89e-05
2026-01-08 22:28:00.844979 | Samples: 40 | Loss: 0.1875 | LR: 4.89e-05
2026-01-08 22:28:59.834441 | Samples: 40 | Loss: 0.1389 | LR: 4.88e-05
2026-01-08 22:29:52.748812 | Samples: 40 | Loss: 0.1429 | LR: 4.88e-05
2026-01-08 22:30:48.364927 | Samples: 40 | Loss: 0.1838 | LR: 4.88e-05
2026-01-08 22:31:50.050799 | Samples: 40 | Loss: 0.1590 | LR: 4.88e-05
2026-01-08 22:32:39.809265 | Samples: 40 | Loss: 0.1406 | LR: 4.88e-05
